STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;EVAP
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;01.01.2015;1
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;02.01.2015;0,5
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;03.01.2015;0,3
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;04.01.2015;1,5
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;05.01.2015;2,5
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;06.01.2015;2,3
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;07.01.2015;2,3
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;08.01.2015;1,8
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;09.01.2015;1,5
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;10.01.2015;0,3
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;11.01.2015;0,3
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;12.01.2015;0,8
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;13.01.2015;0,8
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;14.01.2015;0,8
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;15.01.2015;0,5
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;16.01.2015;1,5
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;17.01.2015;2
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;18.01.2015;2,5
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;19.01.2015;3
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;20.01.2015;2,8
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;21.01.2015;2,8
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;22.01.2015;1,3
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;23.01.2015;0,5
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;24.01.2015;0,8
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;25.01.2015;2,8
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;26.01.2015;3,6
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;27.01.2015;2,8
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;28.01.2015;4,1
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;29.01.2015;3,3
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;30.01.2015;2,5
USC00411880;COLETO CREEK RESERVOIR, TX US;28.71556;-97.17417;36;31.01.2015;2,8
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;02.01.2015;0,8
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;03.01.2015;0,5
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;04.01.2015;1
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;07.01.2015;0
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;11.01.2015;0
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;12.01.2015;0
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;13.01.2015;1
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;14.01.2015;1
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;15.01.2015;0,3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;16.01.2015;0,3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;17.01.2015;5,8
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;18.01.2015;4,1
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;19.01.2015;4,1
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;20.01.2015;2,5
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;21.01.2015;0,8
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;22.01.2015;7,9
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;23.01.2015;1
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;24.01.2015;1,5
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;25.01.2015;2,8
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;26.01.2015;4,6
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;27.01.2015;3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;28.01.2015;0
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;29.01.2015;93,7
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;30.01.2015;5,6
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;31.01.2015;4,6
USC00417140;POINT COMFORT, TX US;28.6575;-96.5553;6,1;06.01.2015;1
USC00417140;POINT COMFORT, TX US;28.6575;-96.5553;6,1;07.01.2015;1,8
