STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;AWND
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;18.01.2015;2,6
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;19.01.2015;3,2
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;20.01.2015;2,6
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;21.01.2015;4,8
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;22.01.2015;6,7
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;23.01.2015;4,6
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;24.01.2015;2,6
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;25.01.2015;1,9
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;26.01.2015;2,9
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;27.01.2015;2,4
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;28.01.2015;3,3
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;29.01.2015;2,6
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;30.01.2015;5
USW00012962;HONDO MUNICIPAL AIRPORT, TX US;29.3601;-99.1742;280,4;31.01.2015;3,5
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;01.01.2015;3,9
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;02.01.2015;2,6
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;03.01.2015;2,1
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;04.01.2015;4,8
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;05.01.2015;2
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;06.01.2015;0,6
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;07.01.2015;4,6
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;08.01.2015;3
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;09.01.2015;3,5
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;10.01.2015;3,8
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;11.01.2015;2,3
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;12.01.2015;4,4
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;13.01.2015;4
USW00012960;HOUSTON INTERCONTINENTAL AIRPORT, TX US;29.98;-95.36;29;14.01.2015;3,6
