STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;WDMV
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.11.1963;34
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.11.1963;34
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.11.1963;35
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.11.1963;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.11.1963;10
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.11.1963;27
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.11.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.11.1963;71
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.11.1963;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.11.1963;29
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.11.1963;2
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.11.1963;0
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.11.1963;6
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;30.11.1963;3
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.12.1963;5
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.12.1963;40
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.12.1963;42
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.12.1963;24
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.12.1963;13
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.12.1963;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.12.1963;19
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.12.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.12.1963;69
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.12.1963;47
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.12.1963;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.12.1963;42
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.12.1963;6
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.12.1963;5
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.12.1963;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.12.1963;19
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.12.1963;16
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.12.1963;5
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.12.1963;6
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.12.1963;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.12.1963;34
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.12.1963;31
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.12.1963;40
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.12.1963;13
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.12.1963;2
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.12.1963;2
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.12.1963;18
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.12.1963;27
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.12.1963;32
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;30.12.1963;45
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;31.12.1963;51
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.01.1964;19
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.01.1964;14
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.01.1964;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.01.1964;31
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.01.1964;35
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.01.1964;16
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.01.1964;27
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.01.1964;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.01.1964;48
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.01.1964;51
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.01.1964;26
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.01.1964;58
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.01.1964;68
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.01.1964;53
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.01.1964;35
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.01.1964;16
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.01.1964;0
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.01.1964;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.01.1964;21
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.01.1964;16
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.01.1964;29
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.01.1964;31
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.01.1964;5
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.01.1964;5
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.01.1964;35
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.01.1964;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.01.1964;24
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.01.1964;11
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.01.1964;0
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.02.1964;121
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.02.1964;259
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.02.1964;177
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.02.1964;124
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.03.1964;203
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.03.1964;93
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.03.1964;106
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.03.1964;264
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.03.1964;203
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.03.1964;241
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.03.1964;238
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.03.1964;237
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.03.1964;253
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.03.1964;261
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.03.1964;166
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.03.1964;129
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.03.1964;180
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.03.1964;177
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.03.1964;193
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.03.1964;124
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.03.1964;245
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.03.1964;219
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.03.1964;209
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.03.1964;129
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.03.1964;185
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.03.1964;137
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.03.1964;217
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.03.1964;142
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.03.1964;113
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.03.1964;175
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.03.1964;172
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.03.1964;190
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.03.1964;156
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;30.03.1964;227
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;31.03.1964;192
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.04.1964;163
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.04.1964;203
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.04.1964;174
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.04.1964;209
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.04.1964;151
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.04.1964;208
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.04.1964;84
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.04.1964;296
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.04.1964;233
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.04.1964;146
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.04.1964;193
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.04.1964;153
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.04.1964;134
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.04.1964;261
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.04.1964;166
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.04.1964;198
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.04.1964;253
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.04.1964;219
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;19.04.1964;246
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;20.04.1964;278
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;21.04.1964;280
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;22.04.1964;241
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;23.04.1964;249
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;24.04.1964;185
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;25.04.1964;182
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;26.04.1964;156
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;27.04.1964;153
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;28.04.1964;108
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;29.04.1964;146
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;30.04.1964;193
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;01.05.1964;132
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;02.05.1964;69
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;03.05.1964;135
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;04.05.1964;132
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;05.05.1964;188
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;06.05.1964;240
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;07.05.1964;183
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;08.05.1964;246
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;09.05.1964;204
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;10.05.1964;171
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;11.05.1964;175
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;12.05.1964;163
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;13.05.1964;92
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;14.05.1964;126
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;15.05.1964;142
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;16.05.1964;140
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;17.05.1964;117
USC00415721;MCCOOK, TX US;26,5650;-98,1236;67,1;18.05.1964;108
