STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;EVAP
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;01.01.1945;51,3
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;02.01.1945;9,1
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;03.01.1945;21,3
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;04.01.1945;20,3
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;05.01.1945;10,2
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;06.01.1945;10,2
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;07.01.1945;20,3
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;08.01.1945;29,5
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;09.01.1945;39,6
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;10.01.1945;32
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;11.01.1945;31,5
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;12.01.1945;12,7
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;13.01.1945;2
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;14.01.1945;6,6
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;15.01.1945;27,4
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;16.01.1945;37,1
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;17.01.1945;24,4
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;18.01.1945;84,8
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;19.01.1945;42,2
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;20.01.1945;24,9
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;21.01.1945;8,6
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;22.01.1945;15,5
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;23.01.1945;20,8
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;24.01.1945;9,1
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;25.01.1945;23,4
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;26.01.1945;31,5
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;27.01.1945;30
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;28.01.1945;11,2
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;29.01.1945;63,5
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;30.01.1945;37,1
USC00412458;DILLEY, TX US;28.68056;-99.18333;167,6;31.01.1945;21,8
