STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;EVAP
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;01.08.2015;5,1
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;02.08.2015;6,6
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;03.08.2015;6,4
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;04.08.2015;2,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;05.08.2015;6,1
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;06.08.2015;5,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;07.08.2015;5,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;08.08.2015;4,3
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;09.08.2015;6,4
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;10.08.2015;6,1
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;11.08.2015;6,4
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;12.08.2015;6,6
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;13.08.2015;5,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;14.08.2015;4,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;15.08.2015;1,3
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;16.08.2015;5,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;17.08.2015;2,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;18.08.2015;4,3
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;19.08.2015;5,1
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;20.08.2015;5,6
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;21.08.2015;1
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;22.08.2015;2,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;23.08.2015;3
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;24.08.2015;5,3
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;25.08.2015;4,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;26.08.2015;4,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;27.08.2015;5,3
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;28.08.2015;5,1
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;29.08.2015;5,1
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;30.08.2015;4,8
USC00411880;COLETO CREEK RESERVOIR, TX US;287,1556;-97,17417;36;31.08.2015;5,1
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;01.08.2015;10,2
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;02.08.2015;9,7
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;03.08.2015;10,4
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;04.08.2015;10,7
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;05.08.2015;10,7
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;06.08.2015;4,3
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;07.08.2015;16,8
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;08.08.2015;9,1
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;09.08.2015;11,4
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;10.08.2015;10,9
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;11.08.2015;10,4
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;12.08.2015;8,1
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;13.08.2015;10,4
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;14.08.2015;9,4
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;15.08.2015;24,9
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;16.08.2015;11,2
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;17.08.2015;9,1
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;18.08.2015;8,1
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;19.08.2015;2,5
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;20.08.2015;18
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;21.08.2015;3,8
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;22.08.2015;5,1
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;23.08.2015;7,6
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;24.08.2015;8,1
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;25.08.2015;8,9
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;26.08.2015;7,6
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;27.08.2015;6,9
USC00410518;BARDWELL DAM, TX US;32,263;-96,6369;140,5;28.08.2015;4,6
