STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;PRCP
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;01.01.1950;3
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;02.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;03.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;04.01.1950;2,8
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;05.01.1950;6,4
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;06.01.1950;1
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;07.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;08.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;09.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;10.01.1950;38,1
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;11.01.1950;13,5
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;12.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;13.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;14.01.1950;16
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;15.01.1950;0,5
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;16.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;17.01.1950;2,3
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;18.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;19.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;20.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;21.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;22.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;23.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;24.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;25.01.1950;0
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;26.01.1950;0,8
USC00410257;ANGLETON 2 W, TX US;29,1573;-95,4593;8,2;27.01.1950;14,2
