"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TOBS"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-01","21.7"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-02","22.2"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-03","22.2"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-04","21.7"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-05","22.8"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-06","25.0"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-07","23.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-08","26.7"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-09","22.2"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-10","20.6"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-11","20.0"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-12","18.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-13","18.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-14","23.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-15","24.4"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-16","23.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-17","23.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-18","23.3"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-19","23.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-20","24.4"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-21","25.0"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-22","24.4"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-23","22.2"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-24","21.7"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-25","22.8"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-26","23.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-27","24.4"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-28","23.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-29","21.1"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-30","23.9"
"USC00411500","CARTHAGE, TX US","32.1615","-94.3398","93.0","1965-08-31","24.4"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-01","22.8"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-02","22.8"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-03","22.8"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-04","23.3"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-05","23.3"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-06","23.9"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-07","23.3"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-08","24.4"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-09","27.2"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-10","23.3"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-11","21.1"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-12","22.2"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-13","15.0"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-14","18.9"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-15","21.1"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-16","22.2"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-17","22.2"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-18","23.3"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-19","23.9"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-20","22.8"
"USC00410779","BIG LAKE 2, TX US","31.2001","-101.4626","833.3","1965-08-21","19.4"
