STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;EVAP
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;01.01.1955;2,8
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;02.01.1955;2,8
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;03.01.1955;0,8
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;04.01.1955;1,8
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;05.01.1955;3,6
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;06.01.1955;4,6
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;09.01.1955;0,5
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;11.01.1955;0,8
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;12.01.1955;1
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;13.01.1955;1,8
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;14.01.1955;2
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;15.01.1955;1,5
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;16.01.1955;1,3
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;17.01.1955;0,8
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;21.01.1955;0,5
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;22.01.1955;2,5
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;25.01.1955;1,3
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;26.01.1955;3
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;27.01.1955;2,8
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;28.01.1955;2
USC00415094;LAVON DAM, TX US;33.0352;-96.4861;155,4;31.01.1955;2,8
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;01.01.1955;3,8
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;02.01.1955;1,8
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;03.01.1955;1,3
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;04.01.1955;0,8
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;06.01.1955;5,3
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;07.01.1955;4,1
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;08.01.1955;2
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;10.01.1955;2,8
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;12.01.1955;2,3
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;13.01.1955;2,8
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;14.01.1955;2,8
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;15.01.1955;0,5
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;16.01.1955;0,8
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;17.01.1955;2
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;18.01.1955;3,6
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;19.01.1955;3
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;20.01.1955;4,1
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;22.01.1955;2
USW00003969;STEPHENVILLE 1 N, TX US;32.2313;-98.2319;393,2;23.01.1955;2,5
