STATION;NAME;LATITUDE;LONGITUDE;ELEVATION;DATE;EVAP
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;01.01.1995;0,8
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;02.01.1995;2,5
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;03.01.1995;2,3
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;04.01.1995;1,3
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;05.01.1995;1,8
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;06.01.1995;0,8
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;07.01.1995;2,5
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;08.01.1995;2
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;09.01.1995;1
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;10.01.1995;1,8
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;11.01.1995;1,8
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;12.01.1995;3
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;13.01.1995;2,3
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;14.01.1995;5,1
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;15.01.1995;3,3
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;16.01.1995;3,8
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;17.01.1995;4,1
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;18.01.1995;1,8
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;19.01.1995;5,1
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;20.01.1995;2,3
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;21.01.1995;3,3
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;22.01.1995;3
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;23.01.1995;4,1
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;24.01.1995;3,3
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;25.01.1995;1,5
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;26.01.1995;0,5
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;27.01.1995;0,5
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;28.01.1995;2,8
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;29.01.1995;4,8
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;30.01.1995;5,6
USC00411720;CHOKE CANYON DAM, TX US;28.4675;-98.2525;70,1;31.01.1995;3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;01.01.1995;0,3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;09.01.1995;3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;10.01.1995;1,3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;11.01.1995;3,6
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;12.01.1995;3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;15.01.1995;3,6
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;16.01.1995;2,8
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;17.01.1995;0,5
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;18.01.1995;3,3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;19.01.1995;1,5
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;20.01.1995;3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;21.01.1995;1,3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;22.01.1995;2
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;26.01.1995;0,5
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;27.01.1995;1,3
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;28.01.1995;5,8
USC00410518;BARDWELL DAM, TX US;32.263;-96.6369;140,5;29.01.1995;5,1
